index	family	family_name	config	config_desc	byte2	byte3	metrics_base	byte6	dim1	dim2	byte9	byte10	byte11	name_ptr	name_str
0	0x00	Roman	0x00	Draft	0x00	0xEF	0x00E2	0x00	0x18	0x14	0x00	0x00	0x00	0x06E07	Draft
1	0x00	Roman	0x01	Draft Elite	0x00	0xEF	0x0682	0x00	0x18	0x14	0x00	0x00	0x00	0x07B8A	Draft
2	0x00	Roman	0x13	Draft Elite Proportional Condensed	0x00	0xEF	0x0C22	0x00	0x10	0x0E	0x00	0x00	0x00	0x084DC	Draft
3	0x00	Roman	0x04	LQ	0x00	0xEF	0x11C2	0x00	0x18	0x14	0x00	0x00	0x00	0x0B8C3	Roman
4	0x00	Roman	0x05	LQ Elite	0x00	0xEF	0x1762	0x00	0x18	0x14	0x00	0x00	0x00	0x0E342	Roman
5	0x00	Roman	0x17	LQ Elite Proportional Condensed	0x00	0xEF	0x2000	0x00	0x10	0x0D	0x00	0x00	0x00	0x0FB7C	Roman
6	0x00	Roman	0x06	LQ Proportional	0x00	0xEF	0x25A0	0x00	0x18	0x14	0x00	0x00	0x00	0x11776	Roman
7	0xFF	Block	0x84	LQ	0x00	0xFF	0x2B40	0x00	0x18	0x14	0x00	0x00	0x00	0x127F8	Block
8	0xFF	Block	0x00	Draft	0x00	0xFF	0x3140	0x00	0x18	0x14	0x00	0x00	0x00	0x132B7	Block
9	0x01	SansSerif	0x04	LQ	0x00	0xEF	0x3740	0x00	0x18	0x14	0x00	0x00	0x00	0x164CB	Sans Serif
10	0x01	SansSerif	0x05	LQ Elite	0x00	0xEF	0x4000	0x00	0x18	0x14	0x00	0x00	0x00	0x18E13	Sans Serif
11	0x01	SansSerif	0x17	LQ Elite Proportional Condensed	0x00	0xEF	0x45A0	0x00	0x10	0x0D	0x00	0x00	0x00	0x1A570	Sans Serif
12	0x01	SansSerif	0x06	LQ Proportional	0x00	0xEF	0x4B40	0x00	0x18	0x14	0x00	0x00	0x00	0x1C5D3	Sans Serif
